No,Provinsi,Kabupaten
344,Kalimantan Selatan,Kab. Hulu Sungai Selatan
345,Kalimantan Selatan,Kab. Tapin
346,Kalimantan Selatan,Kab. Hulu Sungai Tengah
347,Kalimantan Selatan,Kab. Tabalong
348,Kalimantan Selatan,Kab. Hulu Sungai Utara
349,Kalimantan Selatan,Kab. Balangan
350,Kalimantan Selatan,Kab. Tanah Bumbu
351,Kalimantan Selatan,Kab. Kotabaru
352,Kalimantan Selatan,Kota Banjarmasin
353,Kalimantan Selatan,Kab. Barito Kuala
354,Kalimantan Selatan,Kota Banjarbaru
355,Kalimantan Selatan,Kab. Tanah Laut
356,Kalimantan Selatan,Kab. Banjar
538,Sulawesi Selatan,Sulawesi Selatan
357,Sulawesi Selatan,Kota Makassar
358,Sulawesi Selatan,Kab. Takalar
359,Sulawesi Selatan,Kab. Gowa
360,Sulawesi Selatan,Kab. Maros
361,Sulawesi Selatan,Kab. Pangkajene dan Kepulauan
362,Sulawesi Selatan,Kab. Bone
363,Sulawesi Selatan,Kab. Soppeng
364,Sulawesi Selatan,Kab. Wajo
365,Sulawesi Selatan,Kota Parepare
366,Sulawesi Selatan,Kab. Barru
367,Sulawesi Selatan,Kab. Sidenreng Rappang
368,Sulawesi Selatan,Kab. Pinrang
369,Sulawesi Selatan,Kab. Enrekang
370,Sulawesi Selatan,Kab. Bulukumba
371,Sulawesi Selatan,Kab. Kepulauan Selayar
372,Sulawesi Selatan,Kab. Bantaeng
373,Sulawesi Selatan,Kab. Jeneponto
374,Sulawesi Selatan,Kab. Sinjai
375,Sulawesi Selatan,Kota Palopo
376,Sulawesi Selatan,Kab. Luwu
377,Sulawesi Selatan,Kab. Tana Toraja
378,Sulawesi Selatan,Kab. Luwu Utara
379,Sulawesi Selatan,Kab. Luwu Timur
380,Sulawesi Selatan,Kab. Toraja Utara
539,Sulawesi Tenggara,Sulawesi Tenggara
381,Sulawesi Tenggara,Kota Kendari
382,Sulawesi Tenggara,Kab. Konawe
383,Sulawesi Tenggara,Kab. Konawe Selatan
384,Sulawesi Tenggara,Kab. Konawe Utara
385,Sulawesi Tenggara,Kab. Konawe Kepulauan
386,Sulawesi Tenggara,Kab. Kolaka
387,Sulawesi Tenggara,Kab. Bombana
388,Sulawesi Tenggara,Kab. Kolaka Utara
389,Sulawesi Tenggara,Kab. Kolaka Timur
390,Sulawesi Tenggara,Kota Bau Bau
391,Sulawesi Tenggara,Kab. Muna
392,Sulawesi Tenggara,Kab. Buton
393,Sulawesi Tenggara,Kab. Wakatobi
394,Sulawesi Tenggara,Kab. Buton Utara
395,Sulawesi Tenggara,Kab. Muna Barat
396,Sulawesi Tenggara,Kab. Buton Tengah
397,Sulawesi Tenggara,Kab. Buton Selatan
398,Sulawesi Barat,Kab. Mamuju
399,Sulawesi Barat,Kab. Pasangkayu
400,Sulawesi Barat,Kab. Mamuju Tengah
401,Sulawesi Barat,Kab. Polewali Mandar
402,Sulawesi Barat,Kab. Mamasa
403,Sulawesi Barat,Kab. Majene
404,Kalimantan Timur,Kota Samarinda
405,Kalimantan Timur,Kab. Kutai Barat
406,Kalimantan Timur,Kab. Mahakam Ulu
407,Kalimantan Timur,Kab. Kutai Kartanegara
408,Kalimantan Timur,Kota Balikpapan
409,Kalimantan Timur,Kab. Paser
410,Kalimantan Timur,Kab. Penajam Paser Utara
411,Kalimantan Timur,Kota Bontang
412,Kalimantan Timur,Kab. Kutai Timur
413,Kalimantan Timur,Kab. Berau
542,Kalimantan Utara,Kalimantan Utara
414,Kalimantan Utara,Kab. Bulungan
415,Kalimantan Utara,Kab. Malinau
416,Kalimantan Utara,Kota Tarakan
417,Kalimantan Utara,Kab. Nunukan
418,Kalimantan Utara,Kab. Tana Tidung
419,Sulawesi Utara,Kota Manado
420,Sulawesi Utara,Kab. Kepulauan Siau Tagulandang Biaro
421,Sulawesi Utara,Kab. Kepulauan Sangihe
422,Sulawesi Utara,Kab. Kepulauan Talaud
423,Sulawesi Utara,Kab. Minahasa Selatan
424,Sulawesi Utara,Kab. Minahasa
425,Sulawesi Utara,Kab. Minahasa Utara
426,Sulawesi Utara,Kab. Bolaang Mongondow
427,Sulawesi Utara,Kab. Minahasa Tenggara
428,Sulawesi Utara,Kab. Bolaang Mongondow Utara
429,Sulawesi Utara,Kab. Bolaang Mongondow Timur
430,Sulawesi Utara,Kab. Bolaang Mongondow Selatan
431,Sulawesi Utara,Kota Bitung
432,Sulawesi Utara,Kota Tomohon
433,Sulawesi Utara,Kota Kotamobagu
544,Gorontalo,Gorontalo
434,Gorontalo,Kota Gorontalo
435,Gorontalo,Kab. Gorontalo
436,Gorontalo,Kab. Boalemo
437,Gorontalo,Kab. Bone Bolango
438,Gorontalo,Kab. Pohuwato
439,Gorontalo,Kab. Gorontalo Utara
440,Sulawesi Tengah,Kota Palu
441,Sulawesi Tengah,Kab. Donggala
442,Sulawesi Tengah,Kab. Parigi Moutong
443,Sulawesi Tengah,Kab. Sigi
444,Sulawesi Tengah,Kab. Banggai
445,Sulawesi Tengah,Kab. Banggai Kepulauan
446,Sulawesi Tengah,Kab. Banggai Laut
447,Sulawesi Tengah,Kab. Poso
448,Sulawesi Tengah,Kab. Morowali
449,Sulawesi Tengah,Kab. Tojo Una Una
450,Sulawesi Tengah,Kab. Morowali Utara
451,Sulawesi Tengah,Kab. Toli-Toli
452,Sulawesi Tengah,Kab. Buol
453,Maluku,Kota Ambon
454,Maluku,Kab. Kepulauan Tanimbar
455,Maluku,Kab. Buru
456,Maluku,Kab. Seram Bagian Timur
457,Maluku,Kab. Seram Bagian Barat
458,Maluku,Kab. Kepulauan Aru
459,Maluku,Kab. Buru Selatan
460,Maluku,Kota Tual
461,Maluku,Kab. Maluku Tengah
462,Maluku,Kab. Maluku Tenggara
546,Maluku Utara,Maluku Utara
463,Maluku Utara,Kota Ternate
464,Maluku Utara,Kab. Halmahera Barat
465,Maluku Utara,Kab. Halmahera Tengah
466,Maluku Utara,Kab. Halmahera Utara
467,Maluku Utara,Kab. Halmahera Selatan
468,Maluku Utara,Kab. Kepulauan Sula
469,Maluku Utara,Kab. Halmahera Timur
470,Maluku Utara,Kab. Pulau Morotai
471,Maluku Utara,Kab. Pulau Taliabu
472,Maluku Utara,Kota Tidore Kepulauan
547,Papua,Papua
473,Papua,Kab. Biak Numfor
474,Papua,Kab. Supiori
475,Papua,Kab. Kepulauan Yapen
476,Papua,Kab. Waropen
477,Papua,Kota Jayapura
478,Papua,Kab. Jayapura
479,Papua,Kab. Sarmi
480,Papua,Kab. Keerom
481,Papua,Kab. Mamberamo Raya
482,Papua Tengah,Kab. Puncak Jaya
483,Papua Tengah,Kab. Puncak
484,Papua Tengah,Kab. Intan Jaya
485,Papua Tengah,Kab. Deiyai
549,Papua Pegunungan,Papua Pegunungan
486,Papua Pegunungan,Kab. Jayawijaya
487,Papua Pegunungan,Kab. Lanny Jaya
488,Papua Pegunungan,Kab. Nduga
489,Papua Pegunungan,Kab. Pegunungan Bintang
490,Papua Pegunungan,Kab. Yahukimo
491,Papua Pegunungan,Kab. Tolikara
492,Papua Pegunungan,Kab. Mamberamo Tengah
493,Papua Pegunungan,Kab. Yalimo
550,Papua Barat,Papua Barat
494,Papua Barat,Kab. Manokwari
495,Papua Barat,Kab. Teluk Bintuni
496,Papua Barat,Kab. Manokwari Selatan
497,Papua Barat,Kab. Pegunungan Arfak
498,Papua Barat,Kab. Teluk Wondama
499,Papua Barat,Kab. Fak Fak
500,Papua Barat,Kab. Kaimana
551,Papua Selatan,Papua Selatan
501,Papua Selatan,Kab. Merauke
502,Papua Selatan,Kab. Boven Digoel
503,Papua Selatan,Kab. Mappi
504,Papua Selatan,Kab. Asmat
505,Papua Tengah,Kab. Mimika
506,Papua Tengah,Kab. Nabire
507,Papua Tengah,Kab. Paniai
508,Papua Tengah,Kab. Dogiyai
552,Papua Barat Daya,Papua Barat Daya
509,Papua Barat Daya,Kota Sorong
510,Papua Barat Daya,Kab. Sorong
511,Papua Barat Daya,Kab. Sorong Selatan
512,Papua Barat Daya,Kab. Raja Ampat
513,Papua Barat Daya,Kab. Tambrauw
514,Papua Barat Daya,Kab. Maybrat
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
